1,0.96689,0
2,0.98937,0
3,0.96876,0
4,0.96648,0
5,0.96656,0
6,1,0
7,1,0
8,1,0
9,0.99301,0
10,0.99174,0.033741
11,0.95303,0.078313
12,0.99522,0.11248
13,0.99174,0.15442
14,0.97727,0.081898
15,0.98593,0.05026
16,0.99495,0.16532
17,0.98474,0.16788
18,0.98701,0.0052781
19,1,0.084416
20,1,0.17749
21,1,0.13939
22,1,0.084416
23,1,0.081169
24,0.95455,0.30661
25,1,0.22333
26,0.975,0.073125
27,1,0.13333
28,1,0.11167
29,0.975,0.0325
30,0.91667,0.045833
31,1,0.04
32,0.98,0.0532
33,0.98,0.19133
34,0.98571,0.014082
35,0.95,0.12667
36,1,0.14697
37,0.92167,0.098311
38,0.96667,0.15306
39,0.96667,0.145
40,0.91667,0.022917
41,1,0.145
42,0.95,0.063333
43,0.98,0.0245
44,0.875,0.23625
45,0.96296,0.18724
46,1,0.077778
47,1,0.13889
48,0.94444,0.18364
49,0.97778,0
50,1,0.09375
51,0,0.030926
